plot_id,fold,matching,Ftype,Altitude
plot_00001,2.0,micmac,D,Faible
plot_00002,2.0,micmac,D,Moyen
plot_00003,2.0,micmac,D,Faible
plot_00004,2.0,micmac,D,Moyen
plot_00005,2.0,micmac,D,Moyen
plot_00006,2.0,micmac,D,Moyen
plot_00007,2.0,micmac,D,Moyen
plot_00008,2.0,micmac,D,Moyen
plot_00009,2.0,micmac,D,Moyen
plot_00010,2.0,micmac,D,Moyen
plot_00011,2.0,micmac,D,Moyen
plot_00012,2.0,micmac,D,Moyen
plot_00013,2.0,micmac,D,Moyen
plot_00014,2.0,micmac,D,Moyen
plot_00015,2.0,micmac,D,Moyen
plot_00016,2.0,micmac,M,Moyen
plot_00017,3.0,micmac,D,Moyen
plot_00018,3.0,micmac,D,Moyen
plot_00019,3.0,micmac,D,Moyen
plot_00020,3.0,micmac,D,Moyen
plot_00021,3.0,micmac,D,Moyen
plot_00022,3.0,micmac,D,Moyen
plot_00023,2.0,micmac,D,Moyen
plot_00024,2.0,micmac,D,Faible
plot_00025,3.0,micmac,D,Élevé
plot_00026,3.0,micmac,D,Moyen
plot_00027,2.0,micmac,D,Moyen
plot_00028,3.0,micmac,C,Élevé
plot_00029,3.0,micmac,D,Moyen
plot_00030,3.0,micmac,D,Élevé
plot_00031,3.0,micmac,D,Élevé
plot_00032,3.0,micmac,M,Élevé
plot_00033,3.0,micmac,D,Élevé
plot_00034,3.0,micmac,M,Élevé
plot_00035,3.0,micmac,M,Élevé
plot_00036,3.0,micmac,D,Élevé
plot_00037,3.0,micmac,D,Élevé
plot_00038,3.0,micmac,M,Élevé
plot_00039,3.0,micmac,M,Élevé
plot_00040,3.0,micmac,D,Moyen
plot_00041,3.0,micmac,M,Élevé
plot_00042,3.0,micmac,D,Élevé
plot_00043,3.0,micmac,M,Élevé
plot_00044,3.0,micmac,M,Élevé
plot_00045,3.0,micmac,D,Élevé
plot_00046,3.0,micmac,D,Moyen
plot_00047,3.0,micmac,D,Élevé
plot_00048,3.0,micmac,C,Élevé
plot_00049,3.0,micmac,D,Élevé
plot_00050,3.0,micmac,M,Élevé
plot_00051,3.0,micmac,C,Élevé
plot_00052,3.0,micmac,D,Moyen
plot_00053,3.0,micmac,M,Élevé
plot_00054,2.0,micmac,M,Élevé
plot_00055,3.0,micmac,D,Élevé
plot_00056,3.0,micmac,C,Élevé
plot_00057,3.0,micmac,D,Élevé
plot_00058,3.0,micmac,D,Élevé
plot_00059,3.0,micmac,D,Élevé
plot_00060,2.0,micmac,D,Élevé
plot_00061,3.0,micmac,M,Élevé
plot_00062,3.0,micmac,C,Élevé
plot_00063,3.0,micmac,M,Élevé
plot_00064,3.0,micmac,M,Élevé
plot_00065,2.0,micmac,M,Élevé
plot_00066,3.0,micmac,D,Moyen
plot_00067,3.0,micmac,D,Moyen
plot_00068,3.0,micmac,M,Élevé
plot_00069,3.0,micmac,M,Élevé
plot_00070,3.0,micmac,M,Élevé
plot_00071,2.0,micmac,D,Moyen
plot_00072,3.0,micmac,D,Moyen
plot_00073,3.0,micmac,M,Élevé
plot_00074,2.0,micmac,D,Moyen
plot_00075,3.0,micmac,D,Moyen
plot_00081,1.0,micmac,D,Faible
plot_00114,1.0,micmac,D,Faible
plot_00135,1.0,micmac,D,Moyen
plot_00136,1.0,micmac,D,Moyen
plot_00137,1.0,micmac,D,Moyen
plot_00138,2.0,micmac,D,Moyen
plot_00139,2.0,micmac,D,Moyen
plot_00140,2.0,micmac,C,Moyen
plot_00141,2.0,micmac,M,Moyen
plot_00142,2.0,micmac,D,Moyen
plot_00143,2.0,micmac,D,Moyen
plot_00144,2.0,micmac,D,Moyen
plot_00145,1.0,micmac,D,Moyen
plot_00146,1.0,micmac,D,Moyen
plot_00147,1.0,micmac,D,Moyen
plot_00148,2.0,micmac,D,Moyen
plot_00149,2.0,micmac,D,Faible
plot_00150,2.0,micmac,D,Moyen
plot_00151,1.0,micmac,D,Moyen
plot_00152,1.0,micmac,D,Moyen
plot_00153,2.0,micmac,D,Faible
plot_00154,1.0,micmac,D,Moyen
plot_00155,2.0,micmac,M,Élevé
plot_00156,2.0,micmac,D,Moyen
plot_00157,2.0,micmac,D,Moyen
plot_00158,2.0,micmac,M,Moyen
plot_00159,2.0,micmac,D,Moyen
plot_00160,2.0,micmac,D,Moyen
plot_00161,2.0,micmac,D,Moyen
plot_00162,2.0,micmac,D,Moyen
plot_00163,2.0,micmac,D,Moyen
plot_00164,2.0,micmac,D,Moyen
plot_00165,2.0,micmac,D,Moyen
plot_00166,2.0,micmac,D,Moyen
plot_00167,2.0,micmac,D,Moyen
plot_00168,2.0,micmac,D,Moyen
plot_00169,2.0,micmac,D,Moyen
plot_00170,2.0,micmac,D,Moyen
plot_00171,2.0,micmac,D,Moyen
plot_00172,2.0,micmac,D,Moyen
plot_00173,2.0,micmac,D,Moyen
plot_00174,2.0,micmac,D,Moyen
plot_00175,2.0,micmac,D,Moyen
plot_00176,2.0,micmac,D,Moyen
plot_00177,3.0,micmac,D,Moyen
plot_00178,3.0,micmac,D,Moyen
plot_00179,3.0,micmac,C,Élevé
plot_00180,2.0,micmac,D,Moyen
plot_00181,3.0,micmac,D,Moyen
plot_00182,3.0,micmac,D,Moyen
plot_00183,3.0,micmac,C,Élevé
plot_00184,3.0,micmac,M,Élevé
plot_00185,3.0,micmac,M,Élevé
plot_00186,3.0,micmac,D,Élevé
plot_00187,3.0,micmac,D,Élevé
plot_00188,3.0,micmac,D,Élevé
plot_00189,2.0,micmac,D,Moyen
plot_00190,3.0,micmac,M,Élevé
plot_00191,3.0,micmac,M,Élevé
plot_00192,2.0,micmac,M,Élevé
plot_00193,3.0,micmac,D,Élevé
plot_00194,3.0,micmac,M,Élevé
plot_00195,2.0,micmac,C,Élevé
plot_00196,2.0,micmac,D,Élevé
plot_00197,3.0,micmac,D,Élevé
plot_00198,3.0,micmac,D,Élevé
plot_00199,3.0,micmac,D,Élevé
plot_00200,2.0,micmac,M,Élevé
plot_00201,2.0,micmac,D,Élevé
plot_00202,3.0,micmac,M,Élevé
plot_00203,2.0,micmac,C,Élevé
plot_00204,2.0,micmac,D,Élevé
plot_00205,2.0,micmac,D,Élevé
plot_00206,3.0,micmac,C,Élevé
plot_00207,3.0,micmac,C,Élevé
plot_00208,3.0,micmac,C,Élevé
plot_00209,3.0,micmac,D,Élevé
plot_00210,3.0,micmac,D,Élevé
plot_00211,2.0,micmac,M,Élevé
plot_00212,2.0,micmac,C,Moyen
plot_00213,3.0,micmac,C,Élevé
plot_00214,2.0,micmac,D,Élevé
plot_00215,2.0,micmac,D,Moyen
plot_00216,3.0,micmac,C,Élevé
plot_00217,3.0,micmac,M,Élevé
plot_00218,3.0,micmac,D,Élevé
plot_00219,3.0,micmac,M,Élevé
plot_00220,3.0,micmac,D,Élevé
plot_00221,3.0,micmac,D,Élevé
plot_00222,3.0,micmac,C,Élevé
plot_00223,2.0,micmac,D,Élevé
plot_00224,2.0,micmac,M,Moyen
plot_00225,2.0,micmac,M,Moyen
plot_00226,3.0,micmac,C,Élevé
plot_00227,3.0,micmac,M,Élevé
plot_00228,3.0,micmac,D,Élevé
plot_00229,2.0,micmac,D,Élevé
plot_00230,2.0,micmac,M,Élevé
